OBJECTID,Field1,UN1,E,N,Ellps Height (m),Latitude,Longitude,gravity Geoid Height (m),UN
1,11C80681,-96.163,494312,709463,-52.543,8.89493,80.722,-94.9,1.263
2,11PL-326-048,-95.693,498362,615455,70.7925,8.04486,80.7589,-94.44,1.253
3,11PL-352-019,-96.083,478087,689265,25.44,8.71224,80.5746,-94.8,1.283
4,11PL-352-026,-95.988,480804,687176,18.789,8.69336,80.5993,-94.74,1.248
5,11PL-352-046,-95.879,488358,681447,12.765,8.64158,80.6679,-94.62,1.259
6,11PL-352-062,-96.215,495515,677547,29.232,8.60633,80.733,-94.54,1.675
7,11PL-352-075,-96.043,500811,674203,-10.374,8.57609,80.7811,-94.49,1.553
8,11PL-352-081,-96.049,503536,673260,-16.228,8.56757,80.8058,-94.47,1.579
9,11PL-352-086,-95.985,505377,672233,-25.503,8.55828,80.8226,-94.45,1.535
10,11PL-355-085,-95.716,510804,674031,-41.507,8.57453,80.8719,-94.39,1.326
11,11PL-355-091,-95.728,508013,672587,-33.231,8.56147,80.8465,-94.42,1.308
12,11SL-418-001,-96.557,461521,649810,-12.6395,8.35536,80.4244,-95.22,1.337
13,11SL-418-013,-96.442,464964,647409,-1.4576,8.33368,80.4556,-95.14,1.302
14,11SL-418-018,-96.399,466287,645563,0.3205,8.317,80.4677,-95.11,1.289
15,11SL-418-033,-96.343,469996,640460,11.9908,8.27088,80.5014,-95.03,1.313
16,11SL-418-039,-96.295,472078,637958,5.3935,8.24826,80.5203,-94.99,1.305
17,11SL-418-055,-96.286,472669,632099,20.2297,8.19529,80.5257,-94.96,1.326
18,11SL-418-060,-96.25,473465,629774,34.9431,8.17427,80.5329,-94.94,1.31
19,11SL-418-067,-96.217,474612,627264,32.6765,8.15158,80.5433,-94.9,1.317
20,11SL-418-086,-96.113,477472,622444,49.4694,8.10801,80.5693,-94.81,1.303
21,11SL-418-095,-96.089,478514,619093,51.4654,8.07771,80.5788,-94.77,1.319
22,11SL-418-114,-96.003,481294,612515,37.075,8.01824,80.604,-94.65,1.353
23,11SL-418-139,-95.857,483964,604844,51.1771,7.94888,80.6283,-94.52,1.337
24,11SL-418-154,-95.788,485436,600383,61.6198,7.90854,80.6416,-94.44,1.348
25,11SL-442-006,-96.216,490750,683289,4.311,8.65824,80.6897,-94.6,1.616
26,11SL-442-010,-96.158,492042,684585,-6.489,8.66997,80.7014,-94.6,1.558
27,11SL-442-016,-96.193,493877,686894,1.818,8.69085,80.7181,-94.59,1.603
28,11SL-442-024,-96.188,496460,689667,-15.859,8.71593,80.7416,-94.59,1.598
29,11SL-442-035,-96.177,500589,692473,-37.116,8.7413,80.7791,-94.58,1.597
30,11SL-442-046,-95.827,503002,697199,-37.053,8.78403,80.801,-94.62,1.207
31,11SL-442-051,-95.854,502889,699696,-34.189,8.80661,80.8,-94.65,1.204
32,11SL-442-057,-95.83,500988,701867,-38.329,8.82624,80.7827,-94.7,1.13
33,11SL-442-065,-95.99,500659,705498,-49.143,8.85908,80.7797,-94.77,1.22
34,11SL-442-071,-95.95,502894,706737,-50.746,8.87028,80.8,-94.78,1.17
35,11SL-442-079,-95.964,503592,709794,-59.874,8.89792,80.8064,-94.85,1.114
36,11SL-445-059,-96.024,500757,710821,-60.456,8.90721,80.7806,-94.89,1.134
37,11SL-451-003,-95.733,509467,668599,-37.186,8.52541,80.8597,-94.39,1.343
38,11SL-452-001,-95.7,512846,675174,-44.316,8.58486,80.8904,-94.36,1.34
39,11TL-128-004,-95.991,499714,704828,-51.18,8.85302,80.7711,-94.77,1.221
40,11TL-128-014,-96.015,500014,709573,-55.842,8.89592,80.7738,-94.86,1.155
41,12PL-330-010,-95.817,502447,613416,33.6369,8.02642,80.7959,-94.42,1.397
42,12PL-330-017,-95.747,505638,614175,17.2495,8.03328,80.8249,-94.42,1.327
43,12PL-330-040,-95.615,513137,617657,0.7762,8.06475,80.8929,-94.43,1.185
44,12PL-330-049,-95.669,514442,614351,-22.5579,8.03485,80.9048,-94.44,1.229
45,12PL-330-058,-95.687,515927,611041,-2.8276,8.00492,80.9182,-94.45,1.237
46,12PL-330-067,-95.691,518879,609733,-28.243,7.99308,80.945,-94.47,1.221
47,12PL-330-080,-95.722,523477,606072,-35.4077,7.95996,80.9867,-94.49,1.232
48,26PL-351-090,-95.194,565955,639640,-91.861,8.26311,81.3724,-94.01,1.184
49,26PL-351-095,-95.223,565710,642023,-92.987,8.28466,81.3702,-94,1.223
50,26PL-351-099,-95.23,563928,642773,-92.485,8.29147,81.3541,-94,1.23
51,26PL-355-001,-95.517,547402,675798,-78.584,8.59028,81.2044,-94.31,1.207
52,26PL-355-006,-95.519,545593,677208,-88.093,8.60305,81.188,-94.3,1.219
53,26PL-355-011,-95.533,543888,678661,-73.748,8.6162,81.1725,-94.29,1.243
54,26PL-355-018,-95.534,540529,679029,-83.312,8.61956,81.142,-94.25,1.284
55,26PL-355-022,-95.518,538674,679474,-77.073,8.6236,81.1251,-94.23,1.288
56,26PL-355-026,-95.531,536856,680262,-67.77,8.63074,81.1086,-94.22,1.311
57,26PL-355-031,-95.538,534494,680869,-65.246,8.63624,81.0872,-94.21,1.328
58,26PL-355-039,-95.55,530929,680213,-53.46,8.63034,81.0547,-94.19,1.36
59,26PL-355-044,-95.546,528553,679995,-53.04,8.62838,81.0332,-94.2,1.346
60,26PL-355-050,-95.572,526114,681088,-60.9,8.63828,81.011,-94.21,1.362
61,26PL-355-056,-95.584,523576,679869,-54.383,8.62727,80.9879,-94.23,1.354
62,26PL-355-062,-95.61,520892,678683,-44.517,8.61656,80.9635,-94.26,1.35
63,26PL-355-068,-95.621,518123,677723,-25.598,8.60789,80.9384,-94.29,1.331
64,26SL-442-090,-96.057,505493,713246,-77.963,8.92913,80.8237,-94.92,1.137
65,26SL-442-103,-96.047,510688,714695,-77.214,8.94223,80.8709,-94.92,1.127
66,26SL-445-053,-96.122,500492,713163,-64,8.92839,80.7782,-94.94,1.182
67,26SL-453-007,-95.658,513992,679308,-48.735,8.62224,80.9009,-94.35,1.308
68,26SL-453-013,-95.598,516229,679841,-44.79,8.62705,80.9212,-94.33,1.268
69,26SL-453-020,-95.601,517386,683114,-50.512,8.65664,80.9317,-94.32,1.281
70,26SL-453-027,-95.652,519054,684640,-45.288,8.67043,80.9469,-94.3,1.352
