OBJECTID,Field1,UN1,East,North
52,41PL-305-025,1.32,397402,554803
40,41PL-312-053,1.255,397768,534465
89,41PL-325-044,1.491,413317,599611
119,42TL-020-047,1.347,419446,536015
121,41PL-334-018,1.354,420924,626939
634,53TL-070-025,1.128,422804,465167
116,52TL-024-007,1.287,423956,486892
603,51TL-023-012,1.386,429396,505455
585,53TL-068-93,1.179,431979,454078
577,53TL-024-044,1.203,432925,473618
424,94SL-430-072,1.204,433428,741390
148,42PL-331-058,1.439,434046,577121
433,95SL-432-069,1.546,435798,693710
579,62TL-044-002,1.59,440236,471195
427,93SL-430-053,1.312,440756,737237
175,62TL-036-025,1.334,443080,484055
179,61PL-304-011,1.411,443791,496918
170,42PL-331-026,1.412,445480,564416
196,61TL-033-067,1.23,445589,507451
166,62PL-63-BM28,1.437,446962,469651
189,61PL-313-052,1.456,448235,524737
573,61TL-033-033,1.15,454022,515348
604,61PL-324-034,1.27,454069,499599
619,42PL-328-002,1.283,455547,553012
138,93PL-317-149,1.215,460274,749883
154,93PL-317-169,1.23,461740,740009
435,93SL-430-001,1.288,464286,734900
238,42PL-328-024,1.326,465493,546833
192,11SL-418-026,1.314,468122,642992
466,95SL-428-001,1.336,469773,694680
307,33PL-311-089,1.523,474372,493416
305,33TL-013-023,1.663,475494,486882
271,32TL-050-056,1.384,475502,529289
615,11SL-418-076,1.301,476149,625224
454,95SL-434-022,1.252,480750,724321
280,32PL-309-010,1.442,482744,539504
502,11PL-352-036,1.281,485390,685034
343,32TL-056-032,1.22,485465,521393
600,33PL-311-046,1.551,486161,494055
568,31PL-309-075,1.32,486529,576715
446,93SL-434-057,1.197,486929,738678
356,33PL-303-061,1.641,489056,508570
640,62SL-416-017,1.464,492014,461948
570,32SL-406-026,1.361,495817,533305
489,11PL-352-068,1.559,497665,674812
352,33TL-028-055,1.301,499001,520973
306,62PL-329-047,1.299,499753,468776
475,11SL-442-041,1.61,502275,694815
647,HBM5,1.275,506531.07,470264.041
648,HBM1,1.253,506579.866,471566.726
643,62PL_329_25,1.251,506582.973,471728.49
649,HBM3,1.292,506766.318,471018.233
563,12PL-330-032,1.157,510137,616337
65,83PL-336-085,1.117,510558,399580
335,71PL-329-011,1.428,510677,473857
513,26PL-355-073,1.345,516084,676482
362,33TL-054-047,1.473,516503,500594
652,33SL-403-068,1.345,518185.084,521496.128
517,26SL-453-070,1.324,519002,686414
332,71PL-307-004,1.254,520837,474773
655,ABM01,1.369,522058.895,522212.457
653,71SL403-073,1.376,522097.15,521610.482
656,ABM02,1.474,522652.679,523124.828
290,71PL-300-030,1.478,523750,513299
346,71TL-075-074,1.635,524211,492942
340,71TL-057-008,1.395,525790,480202
279,71TL-055-056,1.387,530312,519666
519,26PL-355-035,1.422,532619,681233
111,83SL-410-023,0.807,539536,406311
589,72PL-327-027,1.492,554022,474885
588,72PL-333-048,1.503,575904,489665
223,28PL-333-119,1.51,607909,486164
